동,경사도,자전거도로길이,총거치대수,총대여수,인구,면적,지하철역개수,버스정거장개수,스타벅스매장수,공시지가
반포본동,-12.1254,3663.0,35.0,26238.0,12190,1.01,1,3,0,9505424
발산1동,-17.8532,1835.0,102.0,37436.0,38507,2.96,0,59,2,1343310
방배1동,-43.1254,2971.6132075471696,15.0,12741.0,17524,0.7,1,21,2,6740158
방배2동,-76.9292,876.0,60.0,37577.0,20958,1.93,1,36,1,3494647
방배3동,-108.4053,904.0,102.0,27649.0,22455,2.4,0,47,1,2584219
방배4동,-34.6078,203.0,74.0,61069.0,24083,0.98,3,26,4,6610654
방배본동,-24.6315,1483.0,65.0,19212.0,21585,0.67,0,23,1,7935739
방이1동,-24.1512,6119.0,40.0,56398.0,16524,0.5,1,11,2,5128963
방이2동,-18.9306,4249.0,52.0,92352.0,26044,0.8,1,13,3,7551880
방학1동,-25.3917,6955.0,117.0,64002.0,30056,0.69,1,34,0,2355333
방학2동,-40.6482,1134.0,20.0,140.0,21140,0.74,0,23,0,1074229
방학3동,-59.0572,1132.0,18.0,10440.0,28782,2.64,0,32,0,572960
방화1동,-10.0962,2734.0,30.0,39074.0,45668,1.04,1,39,1,1701429
방화2동,-16.1277,3306.0,30.0,12268.0,24051,6.41,2,34,0,382012
방화3동,-11.937,3625.0,33.0,17238.0,24467,2.38,1,18,0,593410
번1동,-28.5802,6240.0,48.0,28873.0,19614,0.66,0,27,1,3080771
번2동,-38.2818,6690.0,64.0,28460.0,17102,0.95,0,48,0,1045978
번3동,-35.0517,6935.0,80.0,22326.0,18251,1.1,0,39,0,758217
보광동,-25.2322,845.0,10.0,8146.0,15862,0.71,0,11,0,4393545
보라매동,-68.4394,2971.6132075471696,10.0,36286.0,26496,0.76,0,24,1,2756681
보문동,-27.213,1395.0,8.0,3426.0,16653,0.56,1,10,0,3689292
부암동,-150.3404,2971.6132075471696,55.0,8275.0,10551,2.27,0,34,0,973980
북가좌1동,-23.3311,2971.6132075471696,158.0,81759.0,19160,0.55,0,12,0,2664965
북가좌2동,-30.3938,2971.6132075471696,73.0,65465.0,33810,0.84,0,22,0,2933424
북아현동,-53.6243,2971.6132075471696,61.0,20017.0,17525,0.46,1,19,1,5507921
불광1동,-171.1831,2971.6132075471696,92.0,57282.0,40917,3.13,2,38,1,1382412
불광2동,-80.954,2971.6132075471696,47.0,22033.0,29552,1.38,1,29,0,1695684
사근동,-22.8211,3644.0,50.0,15228.0,13543,1.1,2,21,2,1758798
